"0"	114494
"100"	9766
"101"	15683
"102"	3507
"103"	2377
"104"	13677
"105"	4410
"106"	16984
"107"	16118
"108"	3744
"109"	3283
"10"	3685
"110"	3592
"111"	2725
"112"	1999
"113"	1596
"114"	2867
"115"	1763
"116"	1446
"117"	1765
"118"	3350
"119"	2279
"11"	3121
"120"	2978
"121"	2058
"122"	1278
"123"	2712
"124"	2932
"125"	20149
"126"	14234
"127"	5724
"128"	2852
"129"	16562
"12"	7645
"130"	4602
"131"	2566
"132"	3135
"133"	3184
"134"	3296
"135"	13813
"136"	2100
"137"	2055
"138"	4047
"139"	1705
"13"	9747
"140"	1003
"141"	6729
"142"	2960
"143"	3927
"144"	2672
"145"	3846
"146"	7757
"147"	19499
"148"	21683
"149"	7381
"14"	4256
"150"	5791
"151"	4718
"152"	13037
"153"	11780
"154"	8322
"155"	6035
"156"	5579
"157"	4247
"158"	1817
"159"	10085
"15"	4922
"160"	4739
"161"	5068
"162"	4734
"163"	5185
"164"	3934
"165"	28876
"166"	3648
"167"	9252
"168"	5353
"169"	4931
"16"	14950
"170"	2160
"171"	7122
"172"	6144
"173"	2586
"174"	4693
"175"	2636
"176"	3315
"177"	6309
"178"	4614
"179"	4494
"17"	4447
"180"	4022
"181"	2918
"183"	2666
"184"	36361
"185"	3442
"186"	3839
"187"	5612
"188"	5842
"189"	2372
"18"	2890
"190"	4396
"191"	5181
"192"	4454
"193"	4438
"194"	4183
"195"	2165
"196"	2232
"19"	3267
"1"	96973
"201"	5049
"202"	34003
"203"	6031
"204"	4322
"205"	5542
"206"	3803
"207"	4747
"208"	3906
"209"	1186
"20"	2707
"210"	3551
"211"	4257
"212"	3061
"213"	3285
"214"	3091
"215"	2047
"216"	45083
"217"	228991
"218"	12003
"219"	260328
"21"	1279
"220"	49206
"221"	31055
"222"	77984
"223"	31143
"224"	20639
"225"	14505
"226"	16480
"227"	43928
"228"	15110
"229"	7270
"22"	4253
"230"	9455
"231"	12044
"232"	14879
"233"	116771
"234"	41307
"235"	10709
"236"	17771
"237"	6004
"238"	3172
"239"	21405
"23"	5137
"240"	7924
"241"	6953
"242"	4749
"243"	2265
"244"	1460
"245"	2634
"246"	2840
"247"	5153
"248"	2695
"249"	1250
"24"	2719
"250"	2424
"251"	1496
"252"	417
"253"	577
"254"	14188
"255"	591
"25"	4532
"26"	3708
"275"	42613
"276"	7729
"277"	42095
"278"	2350
"279"	1946
"27"	2830
"280"	3021
"281"	4498
"282"	6127
"283"	1953
"284"	2360
"285"	2320
"286"	5148
"287"	4304
"288"	2349
"289"	3286
"28"	6157
"290"	1748
"291"	3374
"292"	1451
"293"	1263
"294"	2095
"295"	607
"296"	556
"297"	2156
"299"	11471
"29"	3879
"2"	40931
"300"	1455
"301"	3669
"302"	1102
"303"	1989
"304"	1652
"305"	1759
"306"	2075
"307"	1773
"308"	2363
"309"	16232
"30"	1010
"310"	2272
"311"	2155
"312"	768
"313"	1331
"314"	795
"315"	926
"316"	731
"317"	1134
"318"	2602
"319"	1203
"31"	3790
"320"	1100
"321"	1668
"322"	822
"323"	178
"324"	148
"325"	50
"326"	594
"327"	50
"328"	49
"329"	34
"32"	2964
"330"	25
"331"	51
"332"	73
"333"	3433
"334"	35085
"335"	822
"336"	4072
"337"	4124
"338"	3959
"339"	1497
"33"	2581
"340"	3202
"341"	3182
"342"	1742
"343"	1635
"344"	1092
"345"	8620
"346"	646
"347"	603
"348"	1131
"349"	1068
"34"	2979
"350"	843
"351"	741
"352"	1119
"353"	1214
"354"	1095
"355"	590
"356"	759
"357"	483
"358"	217
"359"	158
"35"	1570
"360"	3266
"361"	270
"362"	95
"363"	34
"364"	138
"365"	51
"366"	41
"367"	600
"368"	752
"369"	4437
"36"	1221
"370"	1100
"371"	749
"372"	455
"373"	551
"374"	60
"375"	9561
"376"	1242
"377"	427
"378"	915
"379"	1826
"37"	1381
"380"	558
"381"	1973
"382"	1517
"383"	265
"384"	1350
"385"	401
"386"	2433
"387"	890
"388"	429
"38"	1129
"393"	25448
"394"	11564
"395"	1359
"396"	56
"397"	4409
"398"	226
"399"	3122
"39"	530
"3"	5567
"40"	3037
"41"	17922
"42"	14350
"43"	5876
"44"	3991
"45"	3709
"46"	3709
"47"	4919
"48"	3798
"49"	3159
"4"	23182
"50"	2873
"51"	2937
"52"	3049
"53"	2781
"54"	3250
"56"	18482
"57"	9879
"58"	4095
"59"	1210
"5"	10904
"60"	2708
"61"	1978
"62"	2501
"63"	1953
"64"	4845
"65"	2388
"66"	18905
"67"	5181
"68"	2207
"69"	1539
"6"	5388
"70"	2168
"71"	6184
"72"	1719
"73"	3560
"74"	1149
"75"	4913
"76"	1813
"77"	3402
"78"	660
"79"	60709
"7"	8226
"80"	7092
"81"	26065
"82"	14804
"83"	11176
"84"	9348
"85"	31859
"86"	8803
"87"	6915
"88"	4525
"89"	6704
"8"	9560
"90"	7636
"91"	5313
"92"	5524
"93"	3756
"94"	3810
"95"	41508
"96"	18975
"97"	24777
"98"	11128
"99"	5070
